setting,trial,found,generations,time_sec
mutation_rate=0.005,1,True,10,0.008835
mutation_rate=0.005,2,True,10,0.007817
mutation_rate=0.005,3,True,9,0.007847
mutation_rate=0.005,4,True,8,0.006677
mutation_rate=0.005,5,True,9,0.007192
mutation_rate=0.01,1,True,9,0.011570
mutation_rate=0.01,2,True,12,0.017193
mutation_rate=0.01,3,True,9,0.010126
mutation_rate=0.01,4,True,11,0.009795
mutation_rate=0.01,5,True,9,0.007222
mutation_rate=0.02,1,True,8,0.006941
mutation_rate=0.02,2,True,12,0.010802
mutation_rate=0.02,3,True,10,0.008267
mutation_rate=0.02,4,True,11,0.008538
mutation_rate=0.02,5,True,10,0.008263
mutation_rate=0.05,1,True,11,0.009885
mutation_rate=0.05,2,True,15,0.012820
mutation_rate=0.05,3,True,10,0.008914
mutation_rate=0.05,4,True,15,0.012131
mutation_rate=0.05,5,True,19,0.015638
